threshold,alloc,ret_pct,dd_pct,trades
0.637,0.976,1172.163264688043,16.32484717040066,76
0.637,0.9765,1215.9010685560747,16.087074077311314,76
0.637,0.977,1172.784709748043,16.34331474115987,76
0.637,0.9775,1172.787170642793,16.34331474115987,76
0.637,0.978,1173.2348880457378,16.29853634228249,76
0.637,0.9785,1215.0800361160752,16.105007306170315,76
0.637,0.979,1215.5107461160744,16.105007306170315,76
0.637,0.9795,1215.2389688117744,16.366719835432683,76
0.637,0.98,1214.7977388117745,16.366719835432683,76
0.637,0.9805,1215.6622863117739,16.366719835432683,76
0.637,0.981,1215.4639499242714,16.366719835432683,76
0.637,0.9815,1217.7669199242716,16.366719835432683,76
0.637,0.982,1217.4423999242715,16.366719835432683,76
0.637,0.9825,1216.9242174242718,16.366719835432683,76
0.637,0.983,1216.5477299242714,16.366719835432683,76
0.637,0.9835,1216.205319924271,16.366719835432683,76
0.637,0.984,1215.582799924271,16.4022908844035,76
0.637,0.9845,1215.234379924271,16.4022908844035,76
0.637,0.985,1225.3400224242703,16.4022908844035,76
0.638,0.965,1149.946678589863,16.127809410280413,76
0.638,0.9655,1150.3699960898632,16.127809410280413,76
0.638,0.966,1151.5210785898628,16.127809410280413,76
0.638,0.9665,1172.7135771880428,15.991261288632206,76
0.638,0.967,1165.744837188043,16.288987506411416,76
0.638,0.9675,1171.870282188043,16.288987506411416,76
0.638,0.968,1171.8672296880425,16.288987506411416,76
0.638,0.9685,1171.4645796880427,16.288987506411416,76
0.638,0.969,1171.7489796880427,16.288987506411416,76
0.638,0.9695,1172.4789171880427,16.288987506411416,76
0.638,0.97,1172.596032188043,16.288987506411416,76
0.638,0.9705,1171.0439071880428,16.288987506411416,76
0.638,0.971,1171.161022188043,16.288987506411416,76
0.638,0.9715,1170.7197921880431,16.288987506411416,76
0.638,0.972,1170.097607188043,16.32484717040066,76
0.638,0.9725,1169.6949571880427,16.32484717040066,76
0.638,0.973,1169.3184696880428,16.32484717040066,76
0.638,0.9735,1169.4172896880425,16.32484717040066,76
0.638,0.974,1168.6440246880427,16.32484717040066,76
0.638,0.9745,1168.2027946880428,16.32484717040066,76
0.638,0.975,1166.9655321880427,16.32484717040066,76
0.638,0.9755,1172.0461496880428,16.32484717040066,76
0.638,0.976,1172.163264688043,16.32484717040066,76
0.638,0.9765,1215.9010685560747,16.087074077311314,76
0.638,0.977,1172.784709748043,16.34331474115987,76
0.638,0.9775,1172.787170642793,16.34331474115987,76
0.638,0.978,1173.2348880457378,16.29853634228249,76
0.638,0.9785,1215.0800361160752,16.105007306170315,76
0.638,0.979,1215.5107461160744,16.105007306170315,76
0.638,0.9795,1215.2389688117744,16.366719835432683,76
0.638,0.98,1214.7977388117745,16.366719835432683,76
0.638,0.9805,1215.6622863117739,16.366719835432683,76
0.638,0.981,1215.4639499242714,16.366719835432683,76
0.638,0.9815,1217.7669199242716,16.366719835432683,76
0.638,0.982,1217.4423999242715,16.366719835432683,76
0.638,0.9825,1216.9242174242718,16.366719835432683,76
0.638,0.983,1216.5477299242714,16.366719835432683,76
0.638,0.9835,1216.205319924271,16.366719835432683,76
0.638,0.984,1215.582799924271,16.4022908844035,76
0.638,0.9845,1215.234379924271,16.4022908844035,76
0.638,0.985,1225.3400224242703,16.4022908844035,76
0.639,0.965,1149.946678589863,16.127809410280413,76
0.639,0.9655,1150.3699960898632,16.127809410280413,76
0.639,0.966,1151.5210785898628,16.127809410280413,76
0.639,0.9665,1172.7135771880428,15.991261288632206,76
0.639,0.967,1165.744837188043,16.288987506411416,76
0.639,0.9675,1171.870282188043,16.288987506411416,76
0.639,0.968,1171.8672296880425,16.288987506411416,76
0.639,0.9685,1171.4645796880427,16.288987506411416,76
0.639,0.969,1171.7489796880427,16.288987506411416,76
0.639,0.9695,1172.4789171880427,16.288987506411416,76
0.639,0.97,1172.596032188043,16.288987506411416,76
0.639,0.9705,1171.0439071880428,16.288987506411416,76
0.639,0.971,1171.161022188043,16.288987506411416,76
0.639,0.9715,1170.7197921880431,16.288987506411416,76
0.639,0.972,1170.097607188043,16.32484717040066,76
0.639,0.9725,1169.6949571880427,16.32484717040066,76
0.639,0.973,1169.3184696880428,16.32484717040066,76
0.639,0.9735,1169.4172896880425,16.32484717040066,76
0.639,0.974,1168.6440246880427,16.32484717040066,76
0.639,0.9745,1168.2027946880428,16.32484717040066,76
0.639,0.975,1166.9655321880427,16.32484717040066,76
0.639,0.9755,1172.0461496880428,16.32484717040066,76
0.639,0.976,1172.163264688043,16.32484717040066,76
0.639,0.9765,1215.9010685560747,16.087074077311314,76
0.639,0.977,1172.784709748043,16.34331474115987,76
0.639,0.9775,1172.787170642793,16.34331474115987,76
0.639,0.978,1173.2348880457378,16.29853634228249,76
0.639,0.9785,1215.0800361160752,16.105007306170315,76
0.639,0.979,1215.5107461160744,16.105007306170315,76
0.639,0.9795,1215.2389688117744,16.366719835432683,76
0.639,0.98,1214.7977388117745,16.366719835432683,76
0.639,0.9805,1215.6622863117739,16.366719835432683,76
0.639,0.981,1215.4639499242714,16.366719835432683,76
0.639,0.9815,1217.7669199242716,16.366719835432683,76
0.639,0.982,1217.4423999242715,16.366719835432683,76
0.639,0.9825,1216.9242174242718,16.366719835432683,76
0.639,0.983,1216.5477299242714,16.366719835432683,76
0.639,0.9835,1216.205319924271,16.366719835432683,76
0.639,0.984,1215.582799924271,16.4022908844035,76
0.639,0.9845,1215.234379924271,16.4022908844035,76
0.639,0.985,1225.3400224242703,16.4022908844035,76
0.64,0.965,1149.946678589863,16.127809410280413,76
0.64,0.9655,1150.3699960898632,16.127809410280413,76
0.64,0.966,1151.5210785898628,16.127809410280413,76
0.64,0.9665,1172.7135771880428,15.991261288632206,76
0.64,0.967,1165.744837188043,16.288987506411416,76
0.64,0.9675,1171.870282188043,16.288987506411416,76
0.64,0.968,1171.8672296880425,16.288987506411416,76
0.64,0.9685,1171.4645796880427,16.288987506411416,76
0.64,0.969,1171.7489796880427,16.288987506411416,76
0.64,0.9695,1172.4789171880427,16.288987506411416,76
0.64,0.97,1172.596032188043,16.288987506411416,76
0.64,0.9705,1171.0439071880428,16.288987506411416,76
0.64,0.971,1171.161022188043,16.288987506411416,76
0.64,0.9715,1170.7197921880431,16.288987506411416,76
0.64,0.972,1170.097607188043,16.32484717040066,76
0.64,0.9725,1169.6949571880427,16.32484717040066,76
0.64,0.973,1169.3184696880428,16.32484717040066,76
0.64,0.9735,1169.4172896880425,16.32484717040066,76
0.64,0.974,1168.6440246880427,16.32484717040066,76
0.64,0.9745,1168.2027946880428,16.32484717040066,76
0.64,0.975,1166.9655321880427,16.32484717040066,76
0.64,0.9755,1172.0461496880428,16.32484717040066,76
0.64,0.976,1172.163264688043,16.32484717040066,76
0.64,0.9765,1215.9010685560747,16.087074077311314,76
0.64,0.977,1172.784709748043,16.34331474115987,76
0.64,0.9775,1172.787170642793,16.34331474115987,76
0.64,0.978,1173.2348880457378,16.29853634228249,76
0.64,0.9785,1215.0800361160752,16.105007306170315,76
0.64,0.979,1215.5107461160744,16.105007306170315,76
0.64,0.9795,1215.2389688117744,16.366719835432683,76
0.64,0.98,1214.7977388117745,16.366719835432683,76
0.64,0.9805,1215.6622863117739,16.366719835432683,76
0.64,0.981,1215.4639499242714,16.366719835432683,76
0.64,0.9815,1217.7669199242716,16.366719835432683,76
0.64,0.982,1217.4423999242715,16.366719835432683,76
0.64,0.9825,1216.9242174242718,16.366719835432683,76
0.64,0.983,1216.5477299242714,16.366719835432683,76
0.64,0.9835,1216.205319924271,16.366719835432683,76
0.64,0.984,1215.582799924271,16.4022908844035,76
0.64,0.9845,1215.234379924271,16.4022908844035,76
0.64,0.985,1225.3400224242703,16.4022908844035,76
0.641,0.965,1149.946678589863,16.127809410280413,76
0.641,0.9655,1150.3699960898632,16.127809410280413,76
0.641,0.966,1151.5210785898628,16.127809410280413,76
0.641,0.9665,1172.7135771880428,15.991261288632206,76
0.641,0.967,1165.744837188043,16.288987506411416,76
0.641,0.9675,1171.870282188043,16.288987506411416,76
0.641,0.968,1171.8672296880425,16.288987506411416,76
0.641,0.9685,1171.4645796880427,16.288987506411416,76
0.641,0.969,1171.7489796880427,16.288987506411416,76
0.641,0.9695,1172.4789171880427,16.288987506411416,76
0.641,0.97,1172.596032188043,16.288987506411416,76
0.641,0.9705,1171.0439071880428,16.288987506411416,76
0.641,0.971,1171.161022188043,16.288987506411416,76
0.641,0.9715,1170.7197921880431,16.288987506411416,76
0.641,0.972,1170.097607188043,16.32484717040066,76
0.641,0.9725,1169.6949571880427,16.32484717040066,76
0.641,0.973,1169.3184696880428,16.32484717040066,76
0.641,0.9735,1169.4172896880425,16.32484717040066,76
0.641,0.974,1168.6440246880427,16.32484717040066,76
0.641,0.9745,1168.2027946880428,16.32484717040066,76
0.641,0.975,1166.9655321880427,16.32484717040066,76
0.641,0.9755,1172.0461496880428,16.32484717040066,76
0.641,0.976,1172.163264688043,16.32484717040066,76
0.641,0.9765,1215.9010685560747,16.087074077311314,76
0.641,0.977,1172.784709748043,16.34331474115987,76
0.641,0.9775,1172.787170642793,16.34331474115987,76
0.641,0.978,1173.2348880457378,16.29853634228249,76
0.641,0.9785,1215.0800361160752,16.105007306170315,76
0.641,0.979,1215.5107461160744,16.105007306170315,76
0.641,0.9795,1215.2389688117744,16.366719835432683,76
0.641,0.98,1214.7977388117745,16.366719835432683,76
0.641,0.9805,1215.6622863117739,16.366719835432683,76
0.641,0.981,1215.4639499242714,16.366719835432683,76
0.641,0.9815,1217.7669199242716,16.366719835432683,76
0.641,0.982,1217.4423999242715,16.366719835432683,76
0.641,0.9825,1216.9242174242718,16.366719835432683,76
0.641,0.983,1216.5477299242714,16.366719835432683,76
0.641,0.9835,1216.205319924271,16.366719835432683,76
0.641,0.984,1215.582799924271,16.4022908844035,76
0.641,0.9845,1215.234379924271,16.4022908844035,76
0.641,0.985,1225.3400224242703,16.4022908844035,76
0.642,0.965,1149.946678589863,16.127809410280413,76
0.642,0.9655,1150.3699960898632,16.127809410280413,76
0.642,0.966,1151.5210785898628,16.127809410280413,76
0.642,0.9665,1172.7135771880428,15.991261288632206,76
0.642,0.967,1165.744837188043,16.288987506411416,76
0.642,0.9675,1171.870282188043,16.288987506411416,76
0.642,0.968,1171.8672296880425,16.288987506411416,76
0.642,0.9685,1171.4645796880427,16.288987506411416,76
0.642,0.969,1171.7489796880427,16.288987506411416,76
0.642,0.9695,1172.4789171880427,16.288987506411416,76
0.642,0.97,1172.596032188043,16.288987506411416,76
0.642,0.9705,1171.0439071880428,16.288987506411416,76
0.642,0.971,1171.161022188043,16.288987506411416,76
0.642,0.9715,1170.7197921880431,16.288987506411416,76
0.642,0.972,1170.097607188043,16.32484717040066,76
0.642,0.9725,1169.6949571880427,16.32484717040066,76
0.642,0.973,1169.3184696880428,16.32484717040066,76
0.642,0.9735,1169.4172896880425,16.32484717040066,76
0.642,0.974,1168.6440246880427,16.32484717040066,76
0.642,0.9745,1168.2027946880428,16.32484717040066,76
0.642,0.975,1166.9655321880427,16.32484717040066,76
0.642,0.9755,1172.0461496880428,16.32484717040066,76
0.642,0.976,1172.163264688043,16.32484717040066,76
0.642,0.9765,1215.9010685560747,16.087074077311314,76
0.642,0.977,1172.784709748043,16.34331474115987,76
0.642,0.9775,1172.787170642793,16.34331474115987,76
0.642,0.978,1173.2348880457378,16.29853634228249,76
0.642,0.9785,1215.0800361160752,16.105007306170315,76
0.642,0.979,1215.5107461160744,16.105007306170315,76
0.642,0.9795,1215.2389688117744,16.366719835432683,76
0.642,0.98,1214.7977388117745,16.366719835432683,76
0.642,0.9805,1215.6622863117739,16.366719835432683,76
0.642,0.981,1215.4639499242714,16.366719835432683,76
0.642,0.9815,1217.7669199242716,16.366719835432683,76
0.642,0.982,1217.4423999242715,16.366719835432683,76
0.642,0.9825,1216.9242174242718,16.366719835432683,76
0.642,0.983,1216.5477299242714,16.366719835432683,76
0.642,0.9835,1216.205319924271,16.366719835432683,76
0.642,0.984,1215.582799924271,16.4022908844035,76
0.642,0.9845,1215.234379924271,16.4022908844035,76
0.642,0.985,1225.3400224242703,16.4022908844035,76
0.643,0.965,1149.946678589863,16.127809410280413,76
0.643,0.9655,1150.3699960898632,16.127809410280413,76
0.643,0.966,1151.5210785898628,16.127809410280413,76
0.643,0.9665,1172.7135771880428,15.991261288632206,76
0.643,0.967,1165.744837188043,16.288987506411416,76
0.643,0.9675,1171.870282188043,16.288987506411416,76
0.643,0.968,1171.8672296880425,16.288987506411416,76
0.643,0.9685,1171.4645796880427,16.288987506411416,76
0.643,0.969,1171.7489796880427,16.288987506411416,76
0.643,0.9695,1172.4789171880427,16.288987506411416,76
0.643,0.97,1172.596032188043,16.288987506411416,76
0.643,0.9705,1171.0439071880428,16.288987506411416,76
0.643,0.971,1171.161022188043,16.288987506411416,76
0.643,0.9715,1170.7197921880431,16.288987506411416,76
0.643,0.972,1170.097607188043,16.32484717040066,76
0.643,0.9725,1169.6949571880427,16.32484717040066,76
0.643,0.973,1169.3184696880428,16.32484717040066,76
0.643,0.9735,1169.4172896880425,16.32484717040066,76
0.643,0.974,1168.6440246880427,16.32484717040066,76
0.643,0.9745,1168.2027946880428,16.32484717040066,76
0.643,0.975,1166.9655321880427,16.32484717040066,76
0.643,0.9755,1172.0461496880428,16.32484717040066,76
0.643,0.976,1172.163264688043,16.32484717040066,76
0.643,0.9765,1215.9010685560747,16.087074077311314,76
0.643,0.977,1172.784709748043,16.34331474115987,76
0.643,0.9775,1172.787170642793,16.34331474115987,76
0.643,0.978,1173.2348880457378,16.29853634228249,76
0.643,0.9785,1215.0800361160752,16.105007306170315,76
0.643,0.979,1215.5107461160744,16.105007306170315,76
0.643,0.9795,1215.2389688117744,16.366719835432683,76
0.643,0.98,1214.7977388117745,16.366719835432683,76
0.643,0.9805,1215.6622863117739,16.366719835432683,76
0.643,0.981,1215.4639499242714,16.366719835432683,76
0.643,0.9815,1217.7669199242716,16.366719835432683,76
0.643,0.982,1217.4423999242715,16.366719835432683,76
0.643,0.9825,1216.9242174242718,16.366719835432683,76
0.643,0.983,1216.5477299242714,16.366719835432683,76
0.643,0.9835,1216.205319924271,16.366719835432683,76
0.643,0.984,1215.582799924271,16.4022908844035,76
0.643,0.9845,1215.234379924271,16.4022908844035,76
0.643,0.985,1225.3400224242703,16.4022908844035,76
0.644,0.965,1149.946678589863,16.127809410280413,76
0.644,0.9655,1150.3699960898632,16.127809410280413,76
0.644,0.966,1151.5210785898628,16.127809410280413,76
0.644,0.9665,1172.7135771880428,15.991261288632206,76
0.644,0.967,1165.744837188043,16.288987506411416,76
0.644,0.9675,1171.870282188043,16.288987506411416,76
0.644,0.968,1171.8672296880425,16.288987506411416,76
0.644,0.9685,1171.4645796880427,16.288987506411416,76
0.644,0.969,1171.7489796880427,16.288987506411416,76
0.644,0.9695,1172.4789171880427,16.288987506411416,76
0.644,0.97,1172.596032188043,16.288987506411416,76
0.644,0.9705,1171.0439071880428,16.288987506411416,76
0.644,0.971,1171.161022188043,16.288987506411416,76
0.644,0.9715,1170.7197921880431,16.288987506411416,76
0.644,0.972,1170.097607188043,16.32484717040066,76
0.644,0.9725,1169.6949571880427,16.32484717040066,76
0.644,0.973,1169.3184696880428,16.32484717040066,76
0.644,0.9735,1169.4172896880425,16.32484717040066,76
0.644,0.974,1168.6440246880427,16.32484717040066,76
0.644,0.9745,1168.2027946880428,16.32484717040066,76
0.644,0.975,1166.9655321880427,16.32484717040066,76
0.644,0.9755,1172.0461496880428,16.32484717040066,76
0.644,0.976,1172.163264688043,16.32484717040066,76
0.644,0.9765,1215.9010685560747,16.087074077311314,76
0.644,0.977,1172.784709748043,16.34331474115987,76
0.644,0.9775,1172.787170642793,16.34331474115987,76
0.644,0.978,1173.2348880457378,16.29853634228249,76
0.644,0.9785,1215.0800361160752,16.105007306170315,76
0.644,0.979,1215.5107461160744,16.105007306170315,76
0.644,0.9795,1215.2389688117744,16.366719835432683,76
0.644,0.98,1214.7977388117745,16.366719835432683,76
0.644,0.9805,1215.6622863117739,16.366719835432683,76
0.644,0.981,1215.4639499242714,16.366719835432683,76
0.644,0.9815,1217.7669199242716,16.366719835432683,76
0.644,0.982,1217.4423999242715,16.366719835432683,76
0.644,0.9825,1216.9242174242718,16.366719835432683,76
0.644,0.983,1216.5477299242714,16.366719835432683,76
0.644,0.9835,1216.205319924271,16.366719835432683,76
0.644,0.984,1215.582799924271,16.4022908844035,76
0.644,0.9845,1215.234379924271,16.4022908844035,76
0.644,0.985,1225.3400224242703,16.4022908844035,76
0.645,0.965,1149.946678589863,16.127809410280413,76
0.645,0.9655,1150.3699960898632,16.127809410280413,76
0.645,0.966,1151.5210785898628,16.127809410280413,76
0.645,0.9665,1172.7135771880428,15.991261288632206,76
0.645,0.967,1165.744837188043,16.288987506411416,76
0.645,0.9675,1171.870282188043,16.288987506411416,76
0.645,0.968,1171.8672296880425,16.288987506411416,76
0.645,0.9685,1171.4645796880427,16.288987506411416,76
0.645,0.969,1171.7489796880427,16.288987506411416,76
0.645,0.9695,1172.4789171880427,16.288987506411416,76
0.645,0.97,1172.596032188043,16.288987506411416,76
0.645,0.9705,1171.0439071880428,16.288987506411416,76
0.645,0.971,1171.161022188043,16.288987506411416,76
0.645,0.9715,1170.7197921880431,16.288987506411416,76
0.645,0.972,1170.097607188043,16.32484717040066,76
0.645,0.9725,1169.6949571880427,16.32484717040066,76
0.645,0.973,1169.3184696880428,16.32484717040066,76
0.645,0.9735,1169.4172896880425,16.32484717040066,76
0.645,0.974,1168.6440246880427,16.32484717040066,76
0.645,0.9745,1168.2027946880428,16.32484717040066,76
0.645,0.975,1166.9655321880427,16.32484717040066,76
0.645,0.9755,1172.0461496880428,16.32484717040066,76
0.645,0.976,1172.163264688043,16.32484717040066,76
0.645,0.9765,1215.9010685560747,16.087074077311314,76
0.645,0.977,1172.784709748043,16.34331474115987,76
0.645,0.9775,1172.787170642793,16.34331474115987,76
0.645,0.978,1173.2348880457378,16.29853634228249,76
0.645,0.9785,1215.0800361160752,16.105007306170315,76
0.645,0.979,1215.5107461160744,16.105007306170315,76
0.645,0.9795,1215.2389688117744,16.366719835432683,76
0.645,0.98,1214.7977388117745,16.366719835432683,76
0.645,0.9805,1215.6622863117739,16.366719835432683,76
0.645,0.981,1215.4639499242714,16.366719835432683,76
0.645,0.9815,1217.7669199242716,16.366719835432683,76
0.645,0.982,1217.4423999242715,16.366719835432683,76
0.645,0.9825,1216.9242174242718,16.366719835432683,76
0.645,0.983,1216.5477299242714,16.366719835432683,76
0.645,0.9835,1216.205319924271,16.366719835432683,76
0.645,0.984,1215.582799924271,16.4022908844035,76
0.645,0.9845,1215.234379924271,16.4022908844035,76
0.645,0.985,1225.3400224242703,16.4022908844035,76
0.646,0.965,1149.946678589863,16.127809410280413,76
0.646,0.9655,1150.3699960898632,16.127809410280413,76
0.646,0.966,1151.5210785898628,16.127809410280413,76
0.646,0.9665,1172.7135771880428,15.991261288632206,76
0.646,0.967,1165.744837188043,16.288987506411416,76
0.646,0.9675,1171.870282188043,16.288987506411416,76
0.646,0.968,1171.8672296880425,16.288987506411416,76
0.646,0.9685,1171.4645796880427,16.288987506411416,76
0.646,0.969,1171.7489796880427,16.288987506411416,76
0.646,0.9695,1172.4789171880427,16.288987506411416,76
0.646,0.97,1172.596032188043,16.288987506411416,76
0.646,0.9705,1171.0439071880428,16.288987506411416,76
0.646,0.971,1171.161022188043,16.288987506411416,76
0.646,0.9715,1170.7197921880431,16.288987506411416,76
0.646,0.972,1170.097607188043,16.32484717040066,76
0.646,0.9725,1169.6949571880427,16.32484717040066,76
0.646,0.973,1169.3184696880428,16.32484717040066,76
0.646,0.9735,1169.4172896880425,16.32484717040066,76
0.646,0.974,1168.6440246880427,16.32484717040066,76
0.646,0.9745,1168.2027946880428,16.32484717040066,76
0.646,0.975,1166.9655321880427,16.32484717040066,76
0.646,0.9755,1172.0461496880428,16.32484717040066,76
0.646,0.976,1172.163264688043,16.32484717040066,76
0.646,0.9765,1215.9010685560747,16.087074077311314,76
0.646,0.977,1172.784709748043,16.34331474115987,76
0.646,0.9775,1172.787170642793,16.34331474115987,76
0.646,0.978,1173.2348880457378,16.29853634228249,76
0.646,0.9785,1215.0800361160752,16.105007306170315,76
0.646,0.979,1215.5107461160744,16.105007306170315,76
0.646,0.9795,1215.2389688117744,16.366719835432683,76
0.646,0.98,1214.7977388117745,16.366719835432683,76
0.646,0.9805,1215.6622863117739,16.366719835432683,76
0.646,0.981,1215.4639499242714,16.366719835432683,76
0.646,0.9815,1217.7669199242716,16.366719835432683,76
0.646,0.982,1217.4423999242715,16.366719835432683,76
0.646,0.9825,1216.9242174242718,16.366719835432683,76
0.646,0.983,1216.5477299242714,16.366719835432683,76
0.646,0.9835,1216.205319924271,16.366719835432683,76
0.646,0.984,1215.582799924271,16.4022908844035,76
0.646,0.9845,1215.234379924271,16.4022908844035,76
0.646,0.985,1225.3400224242703,16.4022908844035,76
0.647,0.965,1149.946678589863,16.127809410280413,76
0.647,0.9655,1150.3699960898632,16.127809410280413,76
0.647,0.966,1151.5210785898628,16.127809410280413,76
0.647,0.9665,1172.7135771880428,15.991261288632206,76
0.647,0.967,1165.744837188043,16.288987506411416,76
0.647,0.9675,1171.870282188043,16.288987506411416,76
0.647,0.968,1171.8672296880425,16.288987506411416,76
0.647,0.9685,1171.4645796880427,16.288987506411416,76
0.647,0.969,1171.7489796880427,16.288987506411416,76
0.647,0.9695,1172.4789171880427,16.288987506411416,76
0.647,0.97,1172.596032188043,16.288987506411416,76
0.647,0.9705,1171.0439071880428,16.288987506411416,76
0.647,0.971,1171.161022188043,16.288987506411416,76
0.647,0.9715,1170.7197921880431,16.288987506411416,76
0.647,0.972,1170.097607188043,16.32484717040066,76
0.647,0.9725,1169.6949571880427,16.32484717040066,76
0.647,0.973,1169.3184696880428,16.32484717040066,76
0.647,0.9735,1169.4172896880425,16.32484717040066,76
0.647,0.974,1168.6440246880427,16.32484717040066,76
0.647,0.9745,1168.2027946880428,16.32484717040066,76
0.647,0.975,1166.9655321880427,16.32484717040066,76
0.647,0.9755,1172.0461496880428,16.32484717040066,76
0.647,0.976,1172.163264688043,16.32484717040066,76
0.647,0.9765,1215.9010685560747,16.087074077311314,76
0.647,0.977,1172.784709748043,16.34331474115987,76
0.647,0.9775,1172.787170642793,16.34331474115987,76
0.647,0.978,1173.2348880457378,16.29853634228249,76
0.647,0.9785,1215.0800361160752,16.105007306170315,76
0.647,0.979,1215.5107461160744,16.105007306170315,76
0.647,0.9795,1215.2389688117744,16.366719835432683,76
0.647,0.98,1214.7977388117745,16.366719835432683,76
0.647,0.9805,1215.6622863117739,16.366719835432683,76
0.647,0.981,1215.4639499242714,16.366719835432683,76
0.647,0.9815,1217.7669199242716,16.366719835432683,76
0.647,0.982,1217.4423999242715,16.366719835432683,76
0.647,0.9825,1216.9242174242718,16.366719835432683,76
0.647,0.983,1216.5477299242714,16.366719835432683,76
0.647,0.9835,1216.205319924271,16.366719835432683,76
0.647,0.984,1215.582799924271,16.4022908844035,76
0.647,0.9845,1215.234379924271,16.4022908844035,76
0.647,0.985,1225.3400224242703,16.4022908844035,76
0.648,0.965,1149.946678589863,16.127809410280413,76
0.648,0.9655,1150.3699960898632,16.127809410280413,76
0.648,0.966,1151.5210785898628,16.127809410280413,76
0.648,0.9665,1172.7135771880428,15.991261288632206,76
0.648,0.967,1165.744837188043,16.288987506411416,76
0.648,0.9675,1171.870282188043,16.288987506411416,76
0.648,0.968,1171.8672296880425,16.288987506411416,76
0.648,0.9685,1171.4645796880427,16.288987506411416,76
0.648,0.969,1171.7489796880427,16.288987506411416,76
0.648,0.9695,1172.4789171880427,16.288987506411416,76
0.648,0.97,1172.596032188043,16.288987506411416,76
0.648,0.9705,1171.0439071880428,16.288987506411416,76
0.648,0.971,1171.161022188043,16.288987506411416,76
0.648,0.9715,1170.7197921880431,16.288987506411416,76
0.648,0.972,1170.097607188043,16.32484717040066,76
0.648,0.9725,1169.6949571880427,16.32484717040066,76
0.648,0.973,1169.3184696880428,16.32484717040066,76
0.648,0.9735,1169.4172896880425,16.32484717040066,76
0.648,0.974,1168.6440246880427,16.32484717040066,76
0.648,0.9745,1168.2027946880428,16.32484717040066,76
0.648,0.975,1166.9655321880427,16.32484717040066,76
0.648,0.9755,1172.0461496880428,16.32484717040066,76
0.648,0.976,1172.163264688043,16.32484717040066,76
0.648,0.9765,1215.9010685560747,16.087074077311314,76
0.648,0.977,1172.784709748043,16.34331474115987,76
0.648,0.9775,1172.787170642793,16.34331474115987,76
0.648,0.978,1173.2348880457378,16.29853634228249,76
0.648,0.9785,1215.0800361160752,16.105007306170315,76
0.648,0.979,1215.5107461160744,16.105007306170315,76
0.648,0.9795,1215.2389688117744,16.366719835432683,76
0.648,0.98,1214.7977388117745,16.366719835432683,76
0.648,0.9805,1215.6622863117739,16.366719835432683,76
0.648,0.981,1215.4639499242714,16.366719835432683,76
0.648,0.9815,1217.7669199242716,16.366719835432683,76
0.648,0.982,1217.4423999242715,16.366719835432683,76
0.648,0.9825,1216.9242174242718,16.366719835432683,76
0.648,0.983,1216.5477299242714,16.366719835432683,76
0.648,0.9835,1216.205319924271,16.366719835432683,76
0.648,0.984,1215.582799924271,16.4022908844035,76
0.648,0.9845,1215.234379924271,16.4022908844035,76
0.648,0.985,1225.3400224242703,16.4022908844035,76
0.649,0.965,1149.946678589863,16.127809410280413,76
0.649,0.9655,1150.3699960898632,16.127809410280413,76
0.649,0.966,1151.5210785898628,16.127809410280413,76
0.649,0.9665,1172.7135771880428,15.991261288632206,76
0.649,0.967,1165.744837188043,16.288987506411416,76
0.649,0.9675,1171.870282188043,16.288987506411416,76
0.649,0.968,1171.8672296880425,16.288987506411416,76
0.649,0.9685,1171.4645796880427,16.288987506411416,76
0.649,0.969,1171.7489796880427,16.288987506411416,76
0.649,0.9695,1172.4789171880427,16.288987506411416,76
0.649,0.97,1172.596032188043,16.288987506411416,76
0.649,0.9705,1171.0439071880428,16.288987506411416,76
0.649,0.971,1171.161022188043,16.288987506411416,76
0.649,0.9715,1170.7197921880431,16.288987506411416,76
0.649,0.972,1170.097607188043,16.32484717040066,76
0.649,0.9725,1169.6949571880427,16.32484717040066,76
0.649,0.973,1169.3184696880428,16.32484717040066,76
0.649,0.9735,1169.4172896880425,16.32484717040066,76
0.649,0.974,1168.6440246880427,16.32484717040066,76
0.649,0.9745,1168.2027946880428,16.32484717040066,76
0.649,0.975,1166.9655321880427,16.32484717040066,76
0.649,0.9755,1172.0461496880428,16.32484717040066,76
0.649,0.976,1172.163264688043,16.32484717040066,76
0.649,0.9765,1215.9010685560747,16.087074077311314,76
0.649,0.977,1172.784709748043,16.34331474115987,76
0.649,0.9775,1172.787170642793,16.34331474115987,76
0.649,0.978,1173.2348880457378,16.29853634228249,76
0.649,0.9785,1215.0800361160752,16.105007306170315,76
0.649,0.979,1215.5107461160744,16.105007306170315,76
0.649,0.9795,1215.2389688117744,16.366719835432683,76
0.649,0.98,1214.7977388117745,16.366719835432683,76
0.649,0.9805,1215.6622863117739,16.366719835432683,76
0.649,0.981,1215.4639499242714,16.366719835432683,76
0.649,0.9815,1217.7669199242716,16.366719835432683,76
0.649,0.982,1217.4423999242715,16.366719835432683,76
0.649,0.9825,1216.9242174242718,16.366719835432683,76
0.649,0.983,1216.5477299242714,16.366719835432683,76
0.649,0.9835,1216.205319924271,16.366719835432683,76
0.649,0.984,1215.582799924271,16.4022908844035,76
0.649,0.9845,1215.234379924271,16.4022908844035,76
0.649,0.985,1225.3400224242703,16.4022908844035,76
0.65,0.965,1149.946678589863,16.127809410280413,76
0.65,0.9655,1150.3699960898632,16.127809410280413,76
0.65,0.966,1151.5210785898628,16.127809410280413,76
