seed,score_base_start,alpha,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades
420,2024-07-01,15,0.64,0.998,-0.001,0.0255,0.406,0.236,10,0.1,-72.48572252999999,75.40882788741304,54
420,2024-07-01,15,0.64,0.998,-0.0005,0.0265,0.412,0.287,10,0.065,-58.65273126999999,63.097274653794486,56
420,2024-07-01,15,0.64,0.998,-0.0005,0.0265,0.406,0.236,10,0.1,-70.29572252999998,73.8435479452056,54
420,2024-07-01,15,0.64,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-61.562395829999986,65.64599085799799,56
420,2024-07-01,15,0.64,0.9998,-0.001,0.0255,0.406,0.236,10,0.1,-72.64572252999997,75.55182955417692,54
420,2024-07-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-58.812731269999986,63.24027632055837,56
420,2024-07-01,15,0.64,0.9998,-0.0005,0.0265,0.406,0.236,10,0.1,-70.45572252999999,73.98654961196948,54
420,2024-07-01,15,0.66,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-61.402395829999975,65.5029891912341,56
420,2024-07-01,15,0.66,0.998,-0.001,0.0255,0.406,0.236,10,0.1,-72.48572252999999,75.40882788741304,54
420,2024-07-01,15,0.66,0.998,-0.0005,0.0265,0.412,0.287,10,0.065,-58.65273126999999,63.097274653794486,56
420,2024-07-01,15,0.66,0.998,-0.0005,0.0265,0.406,0.236,10,0.1,-70.29572252999998,73.8435479452056,54
420,2024-07-01,15,0.66,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-61.562395829999986,65.64599085799799,56
420,2024-07-01,15,0.66,0.9998,-0.001,0.0255,0.406,0.236,10,0.1,-72.64572252999997,75.55182955417692,54
420,2024-07-01,15,0.66,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-58.812731269999986,63.24027632055837,56
420,2024-07-01,15,0.66,0.9998,-0.0005,0.0265,0.406,0.236,10,0.1,-70.45572252999999,73.98654961196948,54
420,2024-07-01,16,0.58,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-64.87185041,65.69573064419592,57
420,2024-07-01,16,0.58,0.998,-0.001,0.0255,0.406,0.236,10,0.1,-70.89484166999999,71.5774613052812,54
420,2024-07-01,16,0.58,0.998,-0.0005,0.0265,0.412,0.287,10,0.065,-61.63185040999999,62.5317201850613,57
420,2024-07-01,16,0.58,0.998,-0.0005,0.0265,0.406,0.236,10,0.1,-68.62484167,70.6777282913684,54
420,2024-07-01,16,0.58,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-64.87185041,65.69573064419592,57
420,2024-07-01,16,0.58,0.9998,-0.001,0.0255,0.406,0.236,10,0.1,-70.89484166999999,71.5774613052812,54
420,2024-07-01,16,0.58,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-61.63185040999999,62.5317201850613,57
420,2024-07-01,16,0.58,0.9998,-0.0005,0.0265,0.406,0.236,10,0.1,-68.62484167,70.6777282913684,54
420,2024-07-01,16,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-64.87185041,65.69573064419592,57
420,2024-07-01,16,0.6,0.998,-0.001,0.0255,0.406,0.236,10,0.1,-70.89484166999999,71.5774613052812,54
420,2024-07-01,16,0.6,0.998,-0.0005,0.0265,0.412,0.287,10,0.065,-61.63185040999999,62.5317201850613,57
420,2024-07-01,16,0.6,0.998,-0.0005,0.0265,0.406,0.236,10,0.1,-68.62484167,70.6777282913684,54
420,2024-07-01,16,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-64.87185041,65.69573064419592,57
420,2024-07-01,16,0.6,0.9998,-0.001,0.0255,0.406,0.236,10,0.1,-70.89484166999999,71.5774613052812,54
420,2024-07-01,16,0.6,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-61.63185040999999,62.5317201850613,57
